Co,Si,Pt,O,Ni,Gd
14424,0,0,41451,6265,0
14240,0,0,41479,6127,0
14068,0,0,41505,5988,0
13893,0,0,41525,5853,0
13723,0,0,41558,5717,0
13539,0,0,41574,5572,0
13357,0,0,41599,5446,0
13187,0,0,41637,5320,0
13028,0,0,41660,5188,1
12971,0,0,41628,5114,1
13452,0,0,41399,5202,0
13966,0,0,41164,5310,0
14473,0,0,40915,5419,0
14998,0,0,40690,5526,0
15525,0,0,40433,5646,0
16049,0,0,40208,5756,0
16535,0,0,39969,5867,0
17051,0,0,39739,5982,0
17436,0,0,39559,6100,0
16685,0,0,39721,6028,0
16005,0,0,39882,5964,0
15333,0,0,40056,5875,0
14671,0,0,40206,5825,0
13977,0,0,40367,5754,0
13255,0,0,40530,5688,1
12588,0,0,40698,5641,3
11918,0,0,40848,5578,11
11444,0,0,40976,5533,12
12073,0,0,40938,5489,8
12671,0,0,40893,5481,1
13290,0,0,40850,5482,0
13896,0,0,40818,5468,0
14500,0,0,40772,5460,0
15155,0,0,40751,5467,0
15750,0,0,40704,5472,0
16359,0,0,40656,5474,0
16888,0,0,40641,5471,0
16802,0,0,40797,5157,0
16758,0,0,40959,4829,0
16718,0,0,41083,4544,0
16675,0,0,41240,4255,0
16627,0,0,41381,3942,1
16582,0,0,41531,3656,4
16528,0,0,41685,3340,6
16493,0,0,41846,3066,7
16402,0,0,41962,2852,9
15677,0,0,41919,3105,7
14926,0,0,41848,3402,5
14216,0,0,41800,3680,3
13514,0,0,41757,3960,1
12787,0,0,41708,4245,1
12097,0,0,41659,4521,7
11344,0,0,41606,4816,11
10645,0,0,41556,5101,14
10074,0,0,41554,5334,16
9988,0,0,41690,5112,15
9942,0,0,41825,4904,14
9869,0,0,41974,4694,13
9816,0,0,42120,4486,12
9742,0,0,42260,4279,16
9688,0,0,42394,4084,17
9648,0,0,42535,3868,17
9584,0,0,42694,3677,16
9707,0,0,42790,3563,18
10816,0,0,42635,3662,15
11965,0,0,42460,3786,13
13198,0,0,42294,3902,10
14351,0,0,42119,4032,5
15463,0,0,41953,4140,0
16614,0,0,41792,4266,0
17793,0,0,41631,4391,0
18992,0,0,41459,4521,0
19933,0,0,41297,4617,0
19774,0,0,41294,4271,0
19659,0,0,41267,3963,0
19490,0,0,41247,3658,1
19339,0,0,41223,3322,5
19167,0,0,41193,3007,9
19024,0,0,41181,2711,10
18895,0,0,41160,2393,14
18737,0,0,41138,2095,16
18541,0,0,41118,1864,21
18037,0,0,41140,1963,16
17590,0,0,41153,2103,14
17090,0,0,41155,2240,10
16563,0,0,41175,2407,7
16088,0,0,41192,2546,5
15611,0,0,41196,2683,1
15127,0,0,41216,2837,0
14657,0,0,41222,2975,0
14223,0,0,41242,3158,0
13914,0,0,41390,3623,0
13585,0,0,41537,4122,0
13260,0,0,41664,4629,0
12946,0,0,41792,5142,0
12617,0,0,41942,5674,0
12297,0,0,42082,6191,0
11978,0,0,42230,6685,0
11669,0,0,42366,7193,0
11479,0,0,42499,7687,0
12465,0,0,42456,7446,0
13432,0,0,42452,7228,0
14394,0,0,42424,7026,0
15371,0,0,42401,6812,0
16397,0,0,42376,6592,0
17373,0,0,42371,6389,0
18335,0,0,42354,6177,4
19317,0,0,42309,5983,8
20159,0,0,42300,5823,10
19282,0,0,42248,5940,6
18507,0,0,42202,6111,2
17699,0,0,42149,6268,0
16909,0,0,42119,6435,0
16112,0,0,42052,6611,0
15263,0,0,42008,6774,0
14479,0,0,41987,6937,0
13680,0,0,41932,7119,0
13019,0,0,41881,7287,0
14214,0,0,41816,6934,0
15334,0,0,41763,6613,0
16475,0,0,41701,6296,0
17582,0,0,41641,5969,0
18749,0,0,41582,5663,0
19946,0,0,41522,5313,0
21074,0,0,41474,4995,6
22215,0,0,41427,4679,10
23150,0,0,41419,4435,10
21652,0,0,41848,4403,6
20067,0,0,42335,4433,2
18560,0,0,42797,4466,0
17075,0,0,43238,4502,3
15586,0,0,43704,4526,5
14104,0,0,44149,4551,7
12514,0,0,44632,4585,10
10999,0,0,45075,4636,14
9728,0,0,45470,4728,14
10422,0,0,45128,4851,12
11190,0,0,44772,5025,9
11886,0,0,44445,5213,7
12584,0,0,44114,5398,5
13276,0,0,43767,5587,1
13988,0,0,43436,5766,0
14748,0,0,43091,5964,0
15441,0,0,42745,6153,0
16134,0,0,42411,6329,0
16259,0,0,42242,5991,0
16413,0,0,42076,5689,4
16580,0,0,41918,5355,9
16731,0,0,41726,5039,15
16877,0,0,41560,4735,27
17045,0,0,41383,4436,32
17201,0,0,41223,4125,37
17375,0,0,41024,3791,48
17533,0,0,40892,3578,61
17320,0,0,41143,3540,48
17136,0,0,41409,3543,36
16948,0,0,41692,3546,32
16775,0,0,41955,3552,28
16588,0,0,42232,3556,18
16417,0,0,42486,3560,15
16238,0,0,42751,3566,10
16050,0,0,43041,3574,9
15975,0,0,43274,3612,10
17060,0,0,43197,3464,9
18163,0,0,43128,3338,8
19276,0,0,43065,3206,7
20458,0,0,42974,3056,8
21559,0,0,42908,2937,8
22657,0,0,42847,2812,14
23769,0,0,42766,2686,24
24877,0,0,42689,2557,37
25911,0,0,42640,2512,43
24690,0,0,42783,2412,35
23475,0,0,42929,2374,20
22258,0,0,43087,2338,14
20960,0,0,43251,2302,8
19744,0,0,43393,2267,3
18548,0,0,43541,2229,0
17328,0,0,43701,2189,0
16117,0,0,43843,2166,0
14938,0,0,43997,2153,2
14600,0,0,44030,2248,1
14283,0,0,44041,2362,0
13980,0,0,44067,2486,0
13688,0,0,44094,2619,0
13350,0,0,44130,2730,0
13053,0,0,44141,2862,0
12740,0,0,44168,2997,0
12434,0,0,44188,3137,0
12161,0,0,44223,3312,0
12555,0,0,44049,3203,0
12942,0,0,43903,3117,0
13331,0,0,43751,3051,5
13731,0,0,43603,2982,7
14157,0,0,43444,2903,9
14555,0,0,43295,2826,15
14935,0,0,43162,2758,23
15355,0,0,43010,2691,26
15800,0,0,42867,2696,36
15363,0,0,42875,2966,25
15012,0,0,42891,3314,22
14667,0,0,42903,3652,15
14318,0,0,42927,4005,8
13964,0,0,42946,4356,7
13601,0,0,42975,4733,5
13246,0,0,42983,5089,1
12899,0,0,43016,5441,3
12617,0,0,43045,5822,5
12478,0,0,43014,5722,3
12413,0,0,43010,5655,1
12333,0,0,43003,5602,0
12263,0,0,43000,5540,2
12196,0,0,43002,5488,8
12126,0,0,42995,5429,17
12062,0,0,42997,5388,21
11992,0,0,42981,5329,25
12043,0,0,43009,5324,32
12027,0,0,42905,5293,25
12110,0,0,42825,5290,20
12202,0,0,42745,5294,14
12274,0,0,42666,5306,6
12376,0,0,42588,5313,1
12452,0,0,42515,5309,0
12554,0,0,42441,5331,0
12629,0,0,42361,5339,0
12800,0,0,42302,5383,0
12617,0,0,42550,5240,0
12504,0,0,42793,5160,0
12381,0,0,43066,5074,0
12282,0,0,43315,4989,0
12182,0,0,43560,4900,0
12068,0,0,43829,4837,0
11969,0,0,44087,4750,1
11871,0,0,44338,4678,3
11826,0,0,44611,4675,5
12002,0,0,44509,4658,3
12229,0,0,44433,4684,1
12472,0,0,44343,4717,0
12700,0,0,44275,4741,0
12936,0,0,44192,4784,0
13162,0,0,44119,4824,1
13399,0,0,44042,4864,3
13643,0,0,43957,4904,6
13973,0,0,43893,5017,10
14057,0,0,43633,4770,6
14240,0,0,43368,4562,3
14410,0,0,43095,4349,1
14596,0,0,42847,4142,1
14753,0,0,42604,3933,5
14918,0,0,42352,3731,7
15093,0,0,42100,3524,9
15285,0,0,41821,3309,10
15487,0,0,41593,3169,14
15391,0,0,41786,3429,10
15344,0,0,41997,3785,9
15306,0,0,42208,4155,7
15252,0,0,42432,4539,5
15215,0,0,42648,4910,1
15175,0,0,42861,5270,0
15152,0,0,43069,5628,0
15098,0,0,43268,6000,0
15122,0,0,43512,6446,0
15390,0,0,43420,6184,0
15743,0,0,43341,5932,0
16070,0,0,43252,5712,0
16428,0,0,43157,5465,0
16779,0,0,43078,5222,0
17118,0,0,42990,5004,1
17464,0,0,42903,4762,3
17820,0,0,42820,4532,5
18275,0,0,42755,4332,7
17400,0,0,42497,4444,5
16610,0,0,42249,4601,3
15813,0,0,42011,4770,1
15013,0,0,41783,4938,0
14165,0,0,41511,5116,0
13376,0,0,41294,5276,0
12588,0,0,41056,5449,0
11810,0,0,40817,5626,0
11027,0,0,40581,5814,1
10979,0,0,40674,5762,0
11006,0,0,40793,5747,0
11035,0,0,40926,5729,0
11063,0,0,41040,5716,2
11098,0,0,41165,5693,10
11125,0,0,41297,5693,15
11157,0,0,41412,5678,23
11190,0,0,41542,5662,29
11233,0,0,41661,5692,40
11500,0,0,41791,5598,30
11768,0,0,41898,5538,27
12041,0,0,42020,5487,26
12310,0,0,42116,5446,22
12568,0,0,42249,5390,21
12871,0,0,42361,5345,22
13146,0,0,42482,5282,28
13428,0,0,42592,5249,34
13707,0,0,42709,5248,38
13359,0,0,42739,5016,34
12934,0,0,42760,4767,28
12552,0,0,42774,4540,25
12155,0,0,42805,4322,19
11769,0,0,42809,4097,14
11333,0,0,42828,3862,12
10958,0,0,42852,3653,9
10576,0,0,42868,3422,7
10214,0,0,42909,3252,8
10463,0,0,42943,3276,6
10808,0,0,43008,3385,5
11126,0,0,43071,3480,1
11472,0,0,43126,3582,0
11803,0,0,43194,3678,0
12143,0,0,43264,3774,0
12478,0,0,43334,3891,0
12818,0,0,43393,3992,0
13183,0,0,43455,4154,0
14155,0,0,43489,4551,0
15208,0,0,43501,5060,0
16330,0,0,43529,5597,0
17392,0,0,43557,6086,3
18448,0,0,43577,6599,5
19516,0,0,43612,7101,7
20653,0,0,43632,7629,10
21706,0,0,43665,8152,14
22784,0,0,43696,8682,16
22078,0,192,43573,8302,14
21259,0,412,43431,7918,10
20377,0,647,43282,7493,8
19577,0,874,43149,7109,9
18733,0,1096,43010,6709,8
17918,0,1318,42875,6313,12
17121,0,1541,42741,5923,16
16235,0,1781,42596,5506,21
15424,0,2001,42461,5156,24
15535,0,1812,42609,5130,22
15769,0,1590,42778,5139,17
15973,0,1366,42931,5163,15
16196,0,1127,43109,5171,6
16411,0,905,43259,5193,3
16646,0,683,43434,5217,0
16847,0,463,43583,5245,0
17101,0,223,43761,5265,1
17323,0,0,43922,5332,3
17179,0,0,43650,5206,1
17033,0,0,43334,5112,0
16884,0,0,43004,5032,0
16736,0,0,42664,4924,0
16582,0,0,42364,4846,0
16439,0,0,42055,4749,0
16293,0,0,41739,4666,1
16150,0,0,41420,4578,3
16010,0,0,41086,4559,5
16079,0,0,41415,4495,3
16174,0,0,41794,4488,1
16261,0,0,42173,4478,0
16348,0,0,42556,4450,0
16443,0,0,42961,4447,0
16526,0,0,43340,4425,0
16618,0,0,43722,4425,0
16711,0,0,44117,4407,0
16840,0,0,44510,4437,0
16539,0,0,44376,4241,0
16232,0,0,44212,4073,0
15937,0,0,44033,3897,0
15633,0,0,43876,3708,0
15309,0,0,43675,3527,0
15016,0,0,43513,3352,0
14714,0,0,43354,3181,0
14413,0,0,43189,3006,0
14133,0,0,43013,2869,0
14466,0,0,42800,3038,0
14884,0,0,42598,3258,0
15275,0,0,42390,3483,0
15696,0,0,42173,3706,0
16131,0,0,41955,3960,0
16529,0,0,41744,4174,0
16940,0,0,41548,4409,0
17360,0,0,41352,4636,0
17766,0,0,41151,4884,0
17754,0,0,41341,5081,0
17712,0,0,41589,5337,0
17658,0,0,41835,5580,0
17594,0,0,42080,5827,0
17552,0,0,42306,6093,0
17487,0,0,42561,6365,0
17436,0,0,42804,6621,0
17377,0,0,43054,6879,0
17345,0,0,43298,7142,0
16797,0,0,43384,7162,0
16132,0,0,43445,7105,0
15516,0,0,43499,7057,0
14906,0,0,43546,7024,0
14301,0,0,43607,6983,0
13634,0,0,43658,6926,3
13031,0,0,43718,6883,5
12398,0,0,43787,6856,7
11827,0,0,43839,6841,7
11567,0,0,43756,6615,7
11361,0,0,43646,6330,5
11174,0,0,43541,6085,3
10964,0,0,43444,5841,2
10776,0,0,43352,5585,6
10590,0,0,43256,5347,11
10395,0,0,43151,5069,15
10194,0,0,43049,4826,21
10031,0,0,42943,4609,26
9670,0,0,43034,4441,26
9292,0,0,43134,4283,27
8883,0,0,43249,4110,32
8473,0,0,43358,3944,43
8094,0,0,43472,3796,62
7707,0,0,43589,3636,81
7293,0,0,43706,3470,96
6908,0,0,43811,3304,120
6540,0,0,43918,3181,140
6015,0,0,43861,2973,143
5399,0,0,43758,2728,137
4748,0,0,43668,2450,148
4138,0,0,43575,2199,186
3533,0,0,43476,1964,215
2937,0,0,43383,1709,243
2320,0,0,43288,1468,273
1673,0,0,43207,1206,299
1099,0,0,43109,1004,341
1004,0,0,42823,915,358
930,0,0,42514,807,386
853,0,0,42207,706,433
769,0,0,41868,596,477
692,0,0,41572,495,517
618,0,0,41266,387,545
541,0,0,40954,292,592
459,0,0,40626,175,643
406,0,0,40319,83,677
402,0,0,40210,77,674
424,0,0,40144,64,660
455,0,0,40073,54,658
487,0,0,40010,43,658
512,0,0,39937,33,636
539,0,0,39850,24,638
569,0,0,39782,12,623
594,0,0,39703,3,628
647,0,0,39636,0,620
596,0,0,39390,7,619
524,0,0,39108,28,618
453,0,0,38835,48,616
378,0,0,38566,65,596
310,0,0,38272,91,596
235,0,0,37981,113,607
171,0,0,37704,136,616
101,0,0,37434,157,620
48,0,0,37135,181,625
135,0,0,36827,163,593
260,0,0,36526,142,548
404,0,0,36200,120,521
541,0,0,35884,100,482
691,0,0,35544,78,433
829,0,0,35220,56,414
965,0,0,34906,35,387
1110,0,0,34593,19,363
1256,0,0,34278,5,326
1404,0,0,34489,17,336
1581,0,0,34802,36,356
1762,0,0,35122,60,390
1936,0,0,35424,82,450
2116,0,0,35753,107,481
2312,0,0,36088,133,513
2497,0,0,36393,160,570
2676,0,0,36711,183,609
2878,0,0,37040,206,641
2785,0,0,36856,251,634
2640,0,0,36587,335,616
2489,0,0,36303,425,609
2356,0,0,36049,512,583
2215,0,0,35761,599,566
2063,0,0,35471,698,536
1925,0,0,35197,793,520
1791,0,0,34905,879,511
1659,0,0,34642,976,498
1511,0,0,34472,971,490
1308,0,0,34328,963,491
1131,0,0,34183,946,489
940,0,0,34045,931,477
753,0,0,33905,918,488
569,0,0,33755,898,485
369,0,0,33620,886,494
187,0,0,33466,876,505
18,0,0,33334,875,513
0,0,0,33527,867,519
3,0,0,33854,869,513
12,0,0,34161,876,523
19,0,0,34469,887,529
26,0,0,34765,888,538
35,0,0,35076,898,542
46,0,0,35395,899,533
53,0,0,35691,902,544
61,0,0,35987,919,562
55,0,0,35909,850,563
48,0,0,35715,748,549
37,0,0,35517,635,549
32,0,0,35344,535,511
22,0,0,35146,431,487
14,0,0,34958,337,488
5,0,0,34763,227,467
0,0,0,34585,124,457
0,0,0,34387,30,453
19,0,0,34375,57,469
73,0,0,34387,109,487
130,0,0,34432,163,499
181,0,0,34438,218,529
234,0,0,34458,270,561
294,0,0,34489,324,577
347,0,0,34510,376,615
403,0,0,34536,440,633
466,0,0,34547,492,660
498,0,0,34715,508,654
563,0,0,34927,536,640
623,0,0,35134,567,642
692,0,0,35367,600,625
760,0,0,35579,626,609
825,0,0,35787,657,590
892,0,0,35992,684,586
965,0,0,36215,716,582
1038,0,0,36435,745,562
1039,0,0,36654,695,560
1052,0,0,36866,620,543
1061,0,0,37082,552,544
1080,0,0,37304,468,545
1081,0,0,37531,401,549
1097,0,0,37729,324,531
1112,0,0,37955,250,531
1127,0,0,38162,182,529
1155,0,0,38381,111,534
1066,0,0,38507,194,548
931,0,0,38597,382,542
806,0,0,38681,553,545
668,0,0,38776,742,565
527,0,0,38874,939,567
395,0,0,38961,1123,563
262,0,0,39055,1299,582
134,0,0,39128,1490,587
8,0,0,39227,1695,590
78,0,0,38936,1678,565
195,0,0,38551,1631,545
313,0,0,38157,1576,517
430,0,0,37757,1521,486
560,0,0,37319,1472,457
672,0,0,36929,1422,428
787,0,0,36534,1376,412
907,0,0,36127,1322,393
1026,0,0,35735,1285,370
967,0,0,35640,1224,359
846,0,0,35641,1138,372
730,0,0,35664,1050,383
613,0,0,35683,964,402
496,0,0,35685,876,436
372,0,0,35724,785,443
252,0,0,35747,698,443
138,0,0,35739,616,469
19,0,0,35764,543,500
37,0,0,35986,500,511
106,0,0,36266,465,525
170,0,0,36558,426,542
230,0,0,36846,388,541
297,0,0,37131,356,563
370,0,0,37428,311,562
433,0,0,37719,272,572
498,0,0,38011,239,590
568,0,0,38302,203,598
538,0,0,38157,263,592
501,0,0,37858,420,588
463,0,0,37560,573,579
430,0,0,37257,725,562
399,0,0,36971,874,563
366,0,0,36678,1029,544
334,0,0,36371,1192,541
295,0,0,36059,1338,517
268,0,0,35767,1501,518
249,0,0,35663,1472,513
214,0,0,35632,1362,512
181,0,0,35612,1271,514
149,0,0,35576,1171,497
115,0,0,35555,1081,495
85,0,0,35496,983,489
50,0,0,35482,885,481
20,0,0,35438,788,482
0,0,0,35411,702,482
110,0,0,35571,656,488
337,0,0,35797,577,489
575,0,0,36037,491,498
797,0,0,36253,412,498
1023,0,0,36484,333,505
1249,0,0,36705,255,523
1476,0,0,36929,179,524
1712,0,0,37171,95,527
1939,0,0,37377,19,557
1846,0,0,37599,21,549
1616,0,0,37818,53,534
1380,0,0,38034,93,532
1152,0,0,38239,125,526
930,0,0,38458,165,529
700,0,0,38666,205,511
471,0,0,38876,242,504
239,0,0,39089,285,504
22,0,0,39307,326,507
43,0,0,39199,309,496
130,0,0,38973,269,488
229,0,0,38752,228,488
332,0,0,38498,190,497
426,0,0,38259,151,490
520,0,0,38032,111,479
611,0,0,37808,66,479
708,0,0,37583,34,480
806,0,0,37333,0,493
766,0,0,37189,0,487
673,0,0,37073,0,481
576,0,0,36974,0,477
477,0,0,36824,0,479
381,0,0,36716,0,480
288,0,0,36605,0,480
197,0,0,36482,0,491
102,0,0,36375,0,507
5,0,0,36248,0,515
5,0,0,36152,26,506
32,0,0,36080,90,483
57,0,0,36012,155,474
85,0,0,35949,213,473
111,0,0,35874,288,492
138,0,0,35806,352,474
165,0,0,35744,422,477
189,0,0,35663,484,447
219,0,0,35598,558,454
301,0,0,35622,543,435
454,0,0,35662,520,416
603,0,0,35724,516,410
761,0,0,35782,510,393
930,0,0,35846,499,382
1082,0,0,35911,489,366
1235,0,0,35953,476,368
1391,0,0,36022,472,359
1553,0,0,36067,470,348
1521,0,0,35898,466,353
1395,0,0,35644,479,350
1281,0,0,35347,499,346
1167,0,0,35086,511,359
1044,0,0,34827,533,367
922,0,0,34526,554,378
804,0,0,34245,567,388
689,0,0,33990,585,403
583,0,0,33722,620,409
522,0,144,33681,605,418
462,0,365,33750,588,436
406,0,591,33826,569,435
352,0,810,33906,559,438
294,0,1032,33978,545,450
236,0,1268,34060,527,475
181,0,1492,34139,512,482
126,0,1716,34213,498,486
68,0,1938,34289,494,500
91,0,1874,34492,476,519
206,0,1636,34768,413,519
314,0,1414,35022,355,514
431,0,1192,35274,297,507
546,0,970,35542,238,513
658,0,745,35828,182,516
781,0,508,36121,115,519
897,0,287,36357,60,505
1020,0,63,36620,8,518
1126,0,0,36481,53,510
1277,0,0,36085,198,489
1413,0,0,35727,339,481
1557,0,0,35373,485,472
1706,0,0,34998,621,460
1838,0,0,34643,769,452
1991,0,0,34257,916,436
2136,0,0,33892,1057,436
2286,0,0,33526,1199,423
2196,0,0,33377,1160,426
1933,0,0,33352,1014,432
1648,0,0,33318,866,430
1381,0,0,33288,725,430
1117,0,0,33253,583,429
857,0,0,33219,442,442
598,0,0,33175,296,446
315,0,0,33152,149,453
62,0,0,33117,16,467
36,0,0,33216,44,481
163,0,0,33397,157,485
292,0,0,33567,295,520
422,0,0,33737,419,547
549,0,0,33921,544,569
674,0,0,34080,664,596
802,0,0,34251,789,621
934,0,0,34435,928,646
1065,0,0,34590,1047,672
1040,0,0,34708,1010,663
934,0,0,34761,890,643
833,0,0,34797,759,619
732,0,0,34851,628,586
629,0,0,34911,509,581
533,0,0,34966,381,554
421,0,0,35013,255,520
322,0,0,35075,132,495
219,0,0,35144,17,485
264,0,0,35205,0,486
358,0,0,35274,7,492
439,0,0,35364,18,487
528,0,0,35459,28,513
616,0,0,35529,39,499
711,0,0,35620,51,490
799,0,0,35689,63,506
886,0,0,35786,73,508
985,0,0,35867,87,521
1119,0,0,35817,84,518
1333,0,0,35694,89,519
1535,0,0,35574,99,509
1749,0,0,35473,111,500
1964,0,0,35323,122,501
2179,0,0,35212,132,495
2391,0,0,35089,140,494
2593,0,0,34978,150,490
2802,0,0,34848,167,492
2792,0,0,34755,189,503
2633,0,0,34690,241,505
2480,0,0,34628,298,509
2339,0,0,34569,359,518
2166,0,0,34494,417,548
2015,0,0,34459,477,571
1868,0,0,34390,536,576
1719,0,0,34337,592,594
1568,0,0,34269,657,611
1430,0,0,34264,663,607
1279,0,0,34299,671,590
1130,0,0,34316,682,572
972,0,0,34355,694,541
821,0,0,34381,709,511
658,0,0,34396,731,492
505,0,0,34434,740,475
356,0,0,34454,750,450
208,0,0,34486,777,446
205,0,0,34346,773,432
294,0,0,34095,752,435
379,0,0,33848,747,441
467,0,0,33594,733,438
550,0,0,33352,722,436
641,0,0,33088,716,437
725,0,0,32841,702,436
810,0,0,32596,688,443
897,0,0,32346,674,454
879,0,0,32341,652,457
779,0,0,32487,592,463
687,0,0,32621,529,463
599,0,0,32771,467,462
504,0,0,32923,409,464
414,0,0,33052,346,467
317,0,0,33199,285,475
228,0,0,33356,226,480
139,0,0,33496,170,483
106,0,0,33613,171,482
89,0,0,33735,210,490
75,0,0,33826,254,481
63,0,0,33935,292,495
48,0,0,34030,336,489
34,0,0,34122,373,506
19,0,0,34232,420,516
8,0,0,34319,468,518
0,0,0,34425,512,538
36,0,0,34284,500,545
138,0,0,33951,442,523
251,0,0,33586,372,522
358,0,0,33260,312,515
470,0,0,32928,251,509
578,0,0,32598,192,510
691,0,0,32268,128,504
808,0,0,31926,64,507
920,0,0,31589,5,497
898,0,0,31519,0,501
792,0,0,31659,0,485
673,0,0,31789,0,496
564,0,0,31910,0,501
453,0,0,32042,0,500
345,0,0,32175,0,503
235,0,0,32297,0,495
124,0,0,32439,0,500
23,0,0,32572,0,511
5,0,0,32532,0,513
58,0,0,32366,0,510
114,0,0,32199,0,514
177,0,0,32041,0,524
239,0,0,31883,0,530
300,0,0,31704,0,523
362,0,0,31546,0,522
419,0,0,31384,0,532
487,0,0,31216,0,532
486,0,0,31354,0,526
466,0,0,31693,0,518
452,0,0,32044,0,519
442,0,0,32414,0,518
419,0,0,32749,0,509
406,0,0,33094,0,517
388,0,0,33451,0,516
372,0,0,33796,0,523
368,0,0,34169,0,531
438,0,115,34242,1,523
567,0,339,34093,22,499
696,0,561,33954,59,473
823,0,784,33816,100,474
962,0,1024,33667,144,469
1085,0,1250,33512,182,454
1215,0,1470,33371,219,439
1345,0,1692,33235,256,449
1477,0,1915,33083,298,457
1464,0,1897,33025,321,455
1306,0,1677,33018,327,452
1152,0,1456,33027,340,444
997,0,1237,33025,355,439
843,0,992,33037,365,440
693,0,767,33039,379,450
546,0,548,33048,390,446
399,0,322,33061,400,456
250,0,98,33050,431,470
238,0,0,32988,423,464
333,0,0,32851,378,451
423,0,0,32721,336,441
517,0,0,32590,293,460
609,0,0,32457,251,460
705,0,0,32315,207,440
805,0,0,32166,164,434
904,0,0,32047,123,434
1007,0,0,31905,79,444
1005,0,0,31939,69,444
880,0,0,32198,92,426
761,0,0,32420,112,431
643,0,0,32642,135,435
526,0,0,32882,158,449
397,0,0,33099,181,442
283,0,0,33329,202,451
163,0,0,33545,223,457
48,0,0,33773,252,463
5,0,0,33960,255,453
55,0,0,34111,251,430
109,0,0,34241,244,395
160,0,0,34386,245,385
212,0,0,34537,237,372
269,0,0,34661,236,350
319,0,0,34806,235,312
371,0,0,34949,228,298
427,0,0,35073,228,290
427,0,0,35126,243,294
371,0,0,35086,299,302
324,0,0,35043,368,326
288,0,0,34987,425,378
243,0,0,34957,485,419
202,0,0,34912,544,447
156,0,0,34872,606,479
122,0,0,34814,665,503
86,0,0,34775,725,531
81,0,0,34774,764,541
71,0,0,34822,824,524
55,0,0,34885,883,499
42,0,0,34946,937,481
31,0,0,34984,1000,470
19,0,0,35032,1055,444
8,0,0,35082,1107,434
0,0,0,35138,1171,415
0,0,0,35193,1231,394
0,0,0,35186,1230,390
21,0,0,35118,1160,411
48,0,0,35033,1098,417
68,0,0,34950,1025,429
96,0,0,34888,963,431
126,0,0,34804,897,450
152,0,0,34735,834,477
181,0,0,34656,766,489
205,0,0,34585,700,509
205,0,0,34562,655,511
181,0,0,34575,575,496
155,0,0,34590,501,478
126,0,0,34626,412,485
96,0,0,34659,333,494
68,0,0,34674,256,484
48,0,0,34701,181,468
23,0,0,34736,99,453
0,0,0,34743,19,450
7,0,0,34741,0,449
52,0,0,34687,0,451
114,0,0,34642,0,459
171,0,0,34590,1,459
232,0,0,34548,5,470
295,0,0,34490,7,476
352,0,0,34446,12,486
414,0,0,34395,14,490
476,0,0,34342,18,511
490,0,0,34362,42,499
480,0,0,34455,106,470
472,0,0,34528,168,443
460,0,0,34623,230,427
448,0,0,34714,297,420
438,0,0,34785,358,389
429,0,0,34874,423,373
423,0,0,34959,483,368
418,0,0,35040,551,357
432,0,0,35012,562,356
454,0,0,34848,533,367
486,0,0,34706,503,386
507,0,0,34555,474,411
532,0,0,34395,451,430
557,0,0,34242,416,464
586,0,0,34094,389,490
619,0,0,33945,361,517
644,0,0,33803,334,542
650,0,0,33854,326,544
625,0,0,34131,362,533
595,0,0,34454,400,512
570,0,0,34735,435,509
546,0,0,35049,480,500
517,0,0,35365,523,494
500,0,0,35666,569,457
477,0,0,35965,611,447
447,0,0,36254,651,450
433,0,0,36269,683,441
476,0,0,35901,719,427
526,0,0,35562,757,424
575,0,0,35222,801,412
619,0,0,34860,836,420
674,0,0,34509,873,417
726,0,0,34167,917,411
768,0,0,33836,957,413
824,0,0,33476,1008,399
855,0,0,33288,1016,401
873,0,0,33299,964,396
901,0,0,33322,931,395
924,0,0,33331,890,396
941,0,0,33349,853,429
974,0,0,33371,823,459
996,0,0,33387,786,464
1026,0,0,33412,751,490
1049,0,0,33428,716,509
1069,0,0,33561,679,524
1038,0,0,33867,641,525
1008,0,0,34173,603,520
988,0,0,34457,565,521
963,0,0,34739,531,556
942,0,0,35030,492,549
913,0,0,35342,454,552
888,0,0,35626,420,565
869,0,0,35911,395,582
886,0,0,36067,381,586
1041,0,0,36059,340,551
1222,0,0,36050,296,531
1392,0,0,36036,260,526
1557,0,0,36013,230,526
1720,0,0,35988,192,507
1880,0,0,35978,156,513
2061,0,0,35953,127,511
2230,0,0,35942,96,495
2319,0,0,35935,95,482
2260,0,0,35901,102,455
2210,0,0,35888,106,433
2151,0,0,35850,121,446
2096,0,0,35837,134,445
2049,0,0,35818,139,440
1996,0,0,35791,146,422
1936,0,0,35760,156,408
1886,0,0,35739,174,415
1818,0,0,35723,191,413
1604,0,0,35747,235,414
1391,0,0,35778,289,428
1163,0,0,35787,343,433
953,0,0,35794,391,439
745,0,0,35817,445,442
531,0,0,35852,504,455
327,0,0,35870,551,457
94,0,0,35877,609,455
37,0,0,35842,629,460
158,0,0,35717,619,468
282,0,0,35590,619,458
398,0,0,35468,623,465
528,0,0,35334,617,455
651,0,0,35208,617,457
770,0,0,35080,612,458
892,0,0,34964,614,461
1020,0,0,34833,612,466
1124,0,0,34808,642,476
1236,0,0,34969,735,469
1355,0,0,35109,837,473
1461,0,0,35248,942,494
1582,0,0,35399,1049,499
1698,0,0,35560,1152,515
1807,0,0,35708,1253,529
1922,0,0,35835,1351,538
2034,0,0,35974,1456,552
2013,0,0,35997,1476,557
1851,0,0,35801,1301,533
