Co,Si,Pt,O,Ni,Gd,Al
2138,0,18248,0,97,0,0
2034,0,18228,0,166,0,0
1907,0,18248,0,297,0,0
1795,0,18269,0,420,0,0
1670,0,18281,0,557,0,0
1562,0,18302,0,686,0,0
1441,0,18336,0,813,0,0
1323,0,18343,0,944,0,0
1208,0,18359,0,1080,0,0
1094,0,18378,0,1214,0,0
1058,0,18506,0,1279,0,16
1110,0,18755,0,1264,0,81
1168,0,19031,0,1243,0,155
1234,0,19278,0,1230,0,226
1293,0,19558,0,1214,0,297
1352,0,19791,0,1201,0,364
1420,0,20068,0,1190,0,442
1472,0,20322,0,1174,0,512
1543,0,20595,0,1157,0,583
1614,0,20841,0,1172,0,655
1461,0,20645,0,1129,0,602
1297,0,20425,0,1119,0,555
1113,0,20208,0,1103,0,515
945,0,19994,0,1090,0,472
764,0,19757,0,1074,0,426
595,0,19550,0,1066,0,388
412,0,19312,0,1051,0,343
244,0,19100,0,1044,0,301
65,0,18876,0,1037,0,256
0,0,18829,0,1019,0,277
0,0,18983,0,962,0,350
6,0,19139,0,930,0,424
15,0,19283,0,907,0,495
21,0,19434,0,877,0,572
28,0,19568,0,846,0,638
36,0,19722,0,814,0,718
42,0,19877,0,800,0,785
51,0,20016,0,767,0,861
59,0,20185,0,762,0,929
211,0,19704,0,748,0,826
379,0,19277,0,748,0,727
563,0,18817,0,745,0,626
725,0,18382,0,751,0,524
908,0,17930,0,745,0,418
1078,0,17500,0,746,0,326
1259,0,17035,0,750,0,219
1429,0,16612,0,756,0,122
1619,0,16150,0,770,0,21
1646,0,15618,0,778,0,125
1587,0,14954,0,807,0,481
1533,0,14328,0,832,0,828
1477,0,13665,0,870,0,1188
1432,0,13041,0,897,0,1535
1371,0,12378,0,922,0,1903
1323,0,11771,0,960,0,2243
1268,0,11084,0,987,0,2610
1219,0,10469,0,1019,0,2949
1185,0,9827,0,1053,0,3282
1109,0,9596,0,983,0,3123
1038,0,9338,0,903,0,2948
973,0,9101,0,835,0,2788
906,0,8851,0,761,0,2615
846,0,8628,0,695,0,2453
778,0,8363,0,619,0,2284
707,0,8122,0,552,0,2106
645,0,7894,0,489,0,1948
579,0,7628,0,422,0,1788
542,0,7428,0,401,0,1667
485,0,7186,0,368,0,1521
436,0,6984,0,347,2,1391
384,0,6746,0,326,6,1252
336,0,6534,0,301,12,1117
290,0,6309,0,285,25,981
250,0,6095,0,263,33,848
203,0,5878,0,242,45,703
157,0,5645,0,230,51,575
129,0,5466,0,242,64,449
139,0,5414,0,280,62,438
152,0,5366,0,335,64,427
170,0,5309,0,380,77,421
181,0,5279,0,439,82,413
198,0,5230,0,487,90,405
212,0,5177,0,542,98,406
241,0,5137,0,596,109,394
264,0,5093,0,649,119,393
290,0,5058,0,706,145,400
305,0,4737,0,695,156,386
335,0,4260,0,669,188,346
374,0,3767,0,637,249,295
415,0,3301,0,612,328,252
451,0,2808,0,580,385,202
491,0,2343,0,553,441,159
530,0,1844,0,525,521,111
568,0,1381,0,501,573,69
605,0,870,0,477,642,22
631,0,579,0,457,714,0
569,0,533,0,458,766,0
495,0,497,0,480,848,0
420,0,465,0,494,910,0
348,0,432,0,525,971,0
283,0,399,0,548,1042,0
203,0,369,0,579,1112,0
135,0,332,0,602,1172,0
60,0,303,0,628,1241,0
1,0,284,0,659,1327,0
55,0,265,0,654,1348,58
146,0,266,0,643,1365,159
252,0,257,0,632,1377,264
348,0,256,0,628,1407,366
455,0,265,0,629,1424,472
552,0,254,0,625,1439,573
654,0,254,0,616,1458,680
750,0,254,0,616,1472,779
859,0,273,0,620,1489,885
911,0,301,0,642,1513,939
810,0,427,0,631,1590,831
717,0,544,0,634,1659,731
622,0,678,0,637,1728,627
532,0,803,0,643,1790,526
